CountryID;Country Name;WEBNAME;Region;World Rank;Region Rank;2022 Score;Property Rights;Judical Effectiveness;Government Integrity;Tax Burden;Gov't Spending;Fiscal Health;Business Freedom;Labor Freedom;Monetary Freedom;Trade Freedom;Investment Freedom ;Financial Freedom;Tariff Rate (%);;Income Tax Rate (%);Corporate Tax Rate (%);Tax Burden % of GDP;;Gov't Expenditure % of GDP ;Country;;Population (Millions);GDP (Billions, PPP);GDP Growth Rate (%);5 Year GDP Growth Rate (%);GDP per Capita (PPP);Unemployment (%);Inflation (%);FDI Inflow (Millions);Public Debt (% of GDP)
80;Italy;Italy;Europe;57;33;65.4;81.7;78.6;57.252027279559;57.7;20.6;49,0;73.8;70.3957010046926;86.2;79.2;80;50;2.9;Italy;43,0;24,0;42.45;Italy;51.4363333333333;Italy;Italy;59.554023;2461.673;-8.871;-0.9362;40861.285;9.31;-0.145;-388,0;155.562
81;Jamaica;Jamaica;Americas;46;7;67.4;65,0;70.6;48.9551677255902;76.6;71.6;79.4;56.5;64.6885009829731;76.2;69.2;80;50;10.4;Jamaica ;30,0;25,0;28.6;Jamaica;30.753;Jamaica;Jamaica;2.961161;27.304;-10.223;-1.0498;9975.179;8.4;5.21;366,0;105.583
82;Japan;Japan;Asia-Pacific;35;6;69.9;94.6;95.3;81.389231215151;67.4;52.5;19.7;78.3;66.6234689776792;87.1;75.4;60;60;2.3;Japan;40.8;23.9;32.03;Japan;39.779;Japan;Japan;125.836021;5313.023;-4.83;-0.3144;42248.002;2.97;-0.017;10 254,0;256.217
83;Jordan;Jordan;Middle East and North Africa;87;5;60.1;53.7;42.6;49.467357553915;84.8;71.6;15.9;59.6;57.2277895744634;84.2;71.8;70;60;9.1;Jordan;30,0;20,0;14.8;Jordan;30.753;Jordan;Jordan;10.20314;105.206;-1.973;1.1996;10305.601;18.5;0.397;726,0;88.54
84;Kazakhstan;Kazakhstan;Asia-Pacific;64;11;64.4;55.3;34.5;37.9085846200547;92.7;86.5;93.5;64.7;62.6659722729706;69.1;75.4;50;50;4.8;Kazakhstan;10,0;20,0;15.07;Kazakhstan;21.206;Kazakhstan;Kazakhstan;18.75444;501.296;-2.598;2.2404;26564.615;6.05;6.799;3 877,0;27.363
85;Kenya;Kenya;Sub-Saharan Africa;138;28;52.6;40.6;39,0;30.9230986666639;79,0;82.2;10.6;56.1;56.7926376018016;75.5;56,0;55;50;12,0;Kenya;30,0;30,0;17.4;Kenya;24.3853333333333;Kenya;Kenya;53.7713;239.836;-0.127;4.4484;4925.519;2.98;5.29;717,0;68.687
86;Kiribati;Kiribati;Asia-Pacific;96;20;59.2;70.6;81.8;45.3720888343011;69.3;0,0;99.4;63.2;65.1028066140229;80.7;80,0;25;30;0,0;Kiribati;35,0;35,0;24.86;Kiribati;119.134333333333;Kiribati;Kiribati;0.119446;0.261;-0.476;2.6508;2199.787;N/A;2.482;0,0;17.258
87;Korea, North ;NorthKorea;Asia-Pacific;177;39;3,0;16.3;6.5;3.77490166653077;0,0;0,0;0,0;5,0;5,0;0,0;0,0;0;0;N/A;NorthKorea;N/A;N/A;N/A;NORTHKOREA;N/A;Korea. North ;Korea. North ;25.778815;n/a;-8,0;-1.88;N/A;2.81;n/a;6,0;n/a
88;Korea, South;SouthKorea;Asia-Pacific;19;5;74.6;90.5;77.1;69.1721818563258;60.4;84.5;95.3;84.8;55.6242012040991;85.2;73,0;60;60;8.5;SouthKorea;49.5;27.5;27.4;SOUTHKOREA;22.7093333333333;Korea. South;Korea. South;51.780579;2310.43;-0.958;2.019;44620.992;4.07;0.537;9 224,0;48.681
185;Kosovo;Kosovo;Europe;86;40;60.1;47.4;31,0;37.5455776571941;92.5;71.6;67.4;68,0;53.0972523571265;79.1;78.6;65;30;3.2;Kosovo;10,0;10,0;23.4;Kosovo;30.7476666666667;Kosovo;Kosovo;1.775378;20.375;-6,0;2.2088;11274.282;N/A;0.168;304.225998567079;24.414
89;Kuwait;Kuwait;Middle East and North Africa;101;7;58.3;41.9;42,0;43.8020395902436;97.7;4,0;99.7;55.4;52.706593258449;71.7;75.6;55;60;4.7;Kuwait;0,0;15,0;1.4;Kuwait;56.5556666666667;Kuwait;Kuwait;4.270563;203.259;-8.134;-1.6492;41626.899;6.79;2.102;-319,0;11.469
90;Kyrgyz Republic;KyrgyzRepublic;Asia-Pacific;116;24;55.8;25.1;11.8;28.7584830450245;94.8;66.7;79,0;56.1;52.1941087027036;71.4;73.2;60;50;5.9;Kyrgyz Republic ;10,0;10,0;17.87;Kyrgyz Republic;33.31;Kyrgyz Republic;Kyrgyz Republic;6.5916;32.819;-7.98;1.8046;5036.034;7.89;6.323;-331,0;74.264
91;Laos;Laos;Asia-Pacific;151;33;49.2;41.1;11.1;20.3936238187121;87.2;88.4;44,0;60.5;44.347638911446;71.8;66.8;35;20;9.1;Laos;24,0;24,0;11.44;Laos;19.6703333333333;Lao P.D.R.;Lao P.D.R.;7.275556;58.937;-0.435;4.876;8110.929;0.95;5.071;968,0;67.984
92;Latvia;Latvia;Europe;18;13;74.8;88.5;75.1;61.105055559972;76.4;53.2;91.4;81.9;62.3968201991324;83.8;79.2;85;60;2.9;Latvia;31.4;20,0;31.2;Latvia;39.4983333333333;Latvia;Latvia;1.901548;60.073;-3.624;1.6102;31509.061;8.19;0.081;873,0;45.48
93;Lebanon;Lebanon;Middle East and North Africa;162;12;47.3;33.7;27.4;22.8384620727803;88.5;77.4;0,0;48.8;54.1601088884549;41.1;74.2;50;50;5.4;Lebanon;25,0;17,0;15.3;Lebanon;27.4306666666667;Lebanon;Lebanon;6.825442;78.931;-25,0;-6.249;11564.192;6.61;88.176;3 067,0;154.364
94;Lesotho;Lesotho;Sub-Saharan Africa;157;38;48.1;45,0;44.1;42.8173777227694;77.4;4.5;27.5;44.2;58.2749541850094;75.9;62.2;55;40;11.4;Lesotho;35,0;25,0;20.2;Lesotho;56.412;Lesotho;Lesotho;2.142252;5.604;-4.543;-1.0624;2717.757;24.65;4.936;102,0;50.264
95;Liberia;Liberia;Sub-Saharan Africa;159;39;47.9;32.2;23.4;25.1250096269549;86.1;68,0;64.6;34.8;43.169295557739;61.7;60.8;55;20;12.1;Liberia;25,0;25,0;12,0;Liberia;32.655;Liberia;Liberia;5.057677;7.308;-2.967;-0.6804;1556.992;3.3;16.953;87,0;61.767
96;Libya;Libya;Middle East and North Africa;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Libya;10,0;20,0;N/A;Libya;N/A;Libya;Libya;6.871287;39.153;-59.719;5.5946;5893.257;19.39;22.256;18420;11.3
97;Liechtenstein;Liechtenstein;Europe;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Liechtenstein;7,0;12.5;N/A;Liechtenstein;N/A;Liechtenstein;Liechtenstein;0.038137;n/a;n/a;n/a;n/a;1.9;n/a;n/a;n/a
98;Lithuania;Lithuania;Europe;17;12;75.8;88.6;74.6;66.5929051965145;84.544844;59.9;86.5;87.3;59.4742763792268;82.3;79.2;70;70;2.9;Lithuania;20,0;15,0;30.34;Lithuania;36.5616666666667;Lithuania;Lithuania;2.7947;108.555;-0.823;2.8508;38824.046;8.43;1.062;479,0;46.98
99;Luxembourg;Luxembourg;Europe;5;3;80.6;97.4;96.4;89.473940593965;64.1;41.5;98.7;89.3;56.3283946958258;80.1;79.2;95;80;2.9;Luxembourg;42,0;17,0;39.22;Luxembourg;44.1493333333333;Luxembourg;Luxembourg;0.632275;73.882;-1.314;2.094;118001.58;6.69;0.004;62 145,0;25.546
101;North Macedonia;Macedonia;Europe;53;32;65.7;57.4;50.2;38.7251634114348;95,0;67.7;69.8;74.4;54.131758924836;78.3;77.8;65;60;6.1;Macedonia;10,0;10,0;17.2;Macedonia;32.8373333333333;Macedonia;Macedonia;2.08338;34.698;-4.532;1.0906;16712.04;18.4;1.2;274,0;51.25
102;Madagascar;Madagascar;Sub-Saharan Africa;98;12;58.9;40.3;33.4;23.0430999936003;90.7;92.9;87.8;37.4;55.956371739851;75.9;64.8;55;50;10.1;Madagascar;20,0;20,0;11.4;Madagascar;15.3966666666667;Madagascar;Madagascar;27.691019;44.099;-4.239;2.2584;1599.044;1.92;4.188;359,0;43.58
103;Malawi;Malawi;Sub-Saharan Africa;134;26;53,0;48.1;53,0;29.3640969603634;78.7;87.4;11,0;34,0;56.414999564602;71.1;67.4;50;50;8.8;Malawi;30,0;30,0;18.3;Malawi;20.4923333333333;Malawi;Malawi;19.129955;20.733;0.6;2.908;993.313;5.99;8.638;98,0;67.264
104;Malaysia;Malaysia;Asia-Pacific;42;8;68.1;65.6;57.6;53.9043684486996;83.8;82.9;73.4;67.1;57.0179750255122;83.6;82.2;60;50;3.9;Malaysia ;30,0;24,0;11.95;Malaysia;23.8893333333333;Malaysia;Malaysia;32.365998;902.595;-5.588;2.7496;27402.241;4.55;-1.139;3 483,0;67.502
105;Maldives;Maldives;Asia-Pacific;161;36;47.3;47.2;32.1;43.1299255705179;96.9;55.2;0,0;39.8;51.5777880186801;77.2;60,0;35;30;12.5;Maldives;0,0;0,0;17.49;Maldives;38.637;Maldives;Maldives;0.540542;7.412;-32.243;-0.716;19608.983;7.18;-1.594;348,0;142.576
106;Mali;Mali;Sub-Saharan Africa;114;18;55.9;34,0;34.1;28.2761104600349;69.8;83.9;70.8;44.2;54.2170208708003;82.8;64,0;65;40;10.5;Mali;40,0;35,0;14.1;Mali;23.19;Mali;Mali;20.250834;47.195;-1.983;3.737;2400.817;7.5;0.627;308,0;44.15
107;Malta;Malta;Europe;27;19;71.5;87.8;89.9;55.7988515994189;69,0;54.6;86.2;75.5;61.7785472885311;78.5;79.2;70;50;2.9;Malta;35,0;35,0;25.5;Malta;38.8823333333333;Malta;Malta;0.525285;22.052;-7.001;3.1858;42856.402;4.09;0.787;3 917,0;55.43
108;Mauritania;Mauritania;Sub-Saharan Africa;119;20;55.3;36.9;29.9;23.5266597477075;75.2;89.4;92.9;35.7;48.9164769594879;80.3;60.6;50;40;9.7;Mauritania;40,0;25,0;16,0;Mauritania;18.826;Mauritania;Mauritania;4.64966;24.195;-2.161;2.0584;5833.875;10.66;2.264;978,0;59.534
109;Mauritius;Mauritius;Sub-Saharan Africa;30;1;70.9;85.6;81.7;56.4643735906669;91.3;73.4;6.8;72,0;69.8233698567641;75.9;87.4;80;70;1.3;Mauritius;15,0;15,0;20.4;Mauritius;29.77;Mauritius;Mauritius;1.26574;25.712;-15.8;-0.2746;20292.269;7.11;2.52;246,0;87.779
110;Mexico;Mexico;Americas;67;14;63.7;47.7;40.7;31.9970478492002;76,0;78.3;78,0;69.2;58.3533559359124;73,0;76.6;75;60;4.2;Mexico;35,0;30,0;16.47;Mexico;26.8726666666667;Mexico;Mexico;128.932753;2444.68;-8.239;-0.271;19130.104;4.71;3.399;29 079,0;60.589
111;Micronesia;Micronesia;Asia-Pacific;82;16;61,0;54.3;82.2;56.757379338054;80.7;0,0;99.5;52.4;81.5061870813098;84.3;74.8;35;30;5.1;Micronesia;10,0;21,0;37.26;Micronesia;61.5083333333333;Micronesia;Micronesia;0.115021;0.361;-1.639;0.671;3445.598;16.2;0.484;NA;15.978
112;Moldova;Moldova;Europe;78;39;61.3;55.9;30.7;34.6835229707409;94.1;68.1;87.2;64.2;46.4482106282655;72.4;76.6;55;50;4.2;Moldova;12,0;12,0;17.3;Moldova;32.611;Moldova;Moldova;2.61782;33.745;-7.5;1.8364;12811.316;4.71;3.768;55,0;35.311
113;Mongolia;Mongolia;Asia-Pacific;66;12;63.9;48.8;57.1;36.999345469237;89.2;68.2;81.9;66.5;67.4892512340605;76,0;74.4;50;50;5.3;Mongolia;10,0;25,0;18.71;Mongolia;32.5796666666667;Mongolia;Mongolia;3.278292;39.67;-5.336;2.715;11825.249;4.33;3.717;1 719,0;76.574
114;Montenegro;Montenegro;Europe;103;41;57.8;61.3;43,0;46.3591950366658;83.9;29.5;11.9;67.1;61.710616248176;85.6;78.8;75;50;5.6;Montenegro;9,0;9,0;38.1;Montenegro;48.4703333333333;Montenegro;Montenegro;0.621718;11.994;-15.205;0.3182;19252.303;15.86;-0.238;529,0;108.846
115;Morocco;Morocco;Middle East and North Africa;97;6;59.2;57.8;32.7;40.9693765333663;68.2;69.8;46,0;64.8;46.3884949928712;80,0;68.6;65;70;10.7;Morocco;38,0;31,0;27.8;Morocco;31.7503333333333;Morocco;Morocco;36.910558;273.95;-7.021;0.7838;7619.886;10.15;0.622;1 763,0;76.072
116;Mozambique;Mozambique;Sub-Saharan Africa;142;32;51.3;31.9;44.1;26.2764100350087;72.2;70.3;52.7;36.7;47.388616830177;78.8;70.6;35;50;7.2;Mozambique ;32,0;32,0;27.1;Mozambique;31.452;Mozambique;Mozambique;31.255435;40.843;-0.5;2.5586;1276.615;3.39;3.141;2 337,0;122.225
117;Namibia;Namibia;Sub-Saharan Africa;95;11;59.2;63.8;67.6;53.8873640725851;72.3;56.5;22.4;55.4;63.4109677289544;79,0;71.2;65;40;6.9;Namibia;37,0;32,0;19.4;Namibia;38.0886666666667;Namibia;Namibia;2.5;23.776;-7.243;-1.758;9396.838;20.35;2.568;-75,0;65.662
118;Nepal;Nepal;Asia-Pacific;148;31;49.7;37.4;34.1;33.7704877724217;82.6;77.2;51.5;60.2;51.4794684969659;70,0;57.6;10;30;13.7;Nepal;25,0;25,0;22.07;Nepal;27.5876666666667;Nepal;Nepal;29.1;117.055;-1.878;4.3622;4060.595;4.44;6.15;126,0;41.309
119;Netherlands;Netherlands;Europe;8;5;79.5;96.2;96.9;92.2869311337384;51.2;45.4;93.6;88.1;58.85056192769;82.1;79.2;90;80;2.9;Netherlands;52,0;25,0;39.33;Netherlands;42.6553333333333;Netherlands;Netherlands;17.441139;1001.531;-3.796;1.069;57534.173;4.09;1.117;-115 300,0;53.971
120;New Zealand;NewZealand;Asia-Pacific;4;2;80.6;88.2;95.9;97.463768115942;70.8;53.5;88.3;81.3;70.5352724632484;81.8;90,0;70;80;2.5;New Zealand;33,0;28,0;32.31;New Zealand;39.3673333333333;New Zealand;New Zealand;5.0843;213.863;-2.991;2.0646;42018.047;4.55;1.715;4 216,0;41.337
121;Nicaragua;Nicaragua;Americas;122;23;54.8;30.1;19.5;18.952659995336;75.3;76.2;87.3;53.8;46.9360537830926;72,0;67.8;60;50;6.1;Nicaragua ;30,0;30,0;25.9;Nicaragua;28.1753333333333;Nicaragua;Nicaragua;6.624554;36.216;-3,0;-0.327;5574.78;5.82;3.705;182,0;46.005
122;Niger;Niger;Sub-Saharan Africa;121;22;54.9;37.4;35.9;32.5471738105502;77.5;85.7;69,0;35.2;53.5983371787391;74.6;62.6;55;40;11.2;Niger;35,0;30,0;11.1;Niger;21.8536666666667;Niger;Niger;24.206636;30.469;1.2;5.0106;1258.705;0.69;2.762;367,0;44.221
123;Nigeria;Nigeria;Sub-Saharan Africa;124;23;54.4;22.1;33.8;22.6726567518411;84.8;95.3;58.1;41.2;73.55591939004;67.5;68.6;45;40;8.2;Nigeria;24,0;30,0;6.3;Nigeria;12.4813333333333;Nigeria;Nigeria;206.139587;1069.2;-1.794;0.3052;5186.766;9.01;13.247;2 385,0;35.054
124;Norway;Norway;Europe;14;10;76.9;99.6;97.3;95.9691828763113;56.4;19.5;96.6;91.4;68.7677411460429;76.9;85.4;75;60;2.3;Norway;47.8;22,0;39.93;Norway;51.8153333333333;Norway;Norway;5.379475;354.592;-0.762;0.9208;65800.1;4.62;1.287;-2 394,0;41.4
125;Oman;Oman;Middle East and North Africa;108;8;56.6;74.9;27.1;53.3489038863611;97.7;32.8;6.9;58.1;45.7180594457465;84.7;73.4;65;60;5.8;Oman;0,0;15,0;2.6;Oman;47.312;Oman;Oman;5.106622;134.151;-6.367;-0.206;30178.421;4.97;-0.904;4 093,0;81.085
126;Pakistan;Pakistan;Asia-Pacific;153;34;48.8;29,0;28.5;27.4295037869573;78,0;85.1;4.8;49.5;51.5774491758166;65.9;65.8;60;40;9.6;Pakistan ;35,0;29,0;11.38;Pakistan;22.254;Pakistan;Pakistan;220.892331;1074.141;-0.385;3.3684;5150.037;4.65;10.741;2 105,0;87.206
127;Panama;Panama;Americas;56;11;65.4;58.8;50.7;37.9902395002654;85.5;81.9;40.7;67.1;61.5346273412555;78.1;77.2;75;70;6.4;Panama ;25,0;25,0;14.1;Panama;24.5533333333333;Panama;Panama;4.314768;115.532;-17.949;-0.153400000000001;27002.932;10.23;-1.55;589,0;63.455
128;Papua New Guinea;PapuaNewGuinea;Asia-Pacific;123;26;54.6;42.7;44.2;26.2460308952797;72,0;86,0;64.1;47.9;65.1320176424324;71.4;80.4;25;30;2.3;Papua New Guinea;42,0;30,0;11.82;Papua New Guinea;21.597;Papua New Guinea;Papua New Guinea;8.947027;33.66;-3.879;2.1458;3833.369;2.74;4.992;-935,0;49.178
129;Paraguay;Paraguay;Americas;73;17;62.9;45.5;37.9;29.523831424137;96.1;84,0;68.8;65.4;39.4494313782117;75.6;77,0;75;60;6.5;Paraguay ;10,0;10,0;13.9;Paraguay;23.0903333333333;Paraguay;Paraguay;7.13253;93.422;-0.9;2.3386;12881.025;7.61;1.768;568,0;34.776
130;Peru;Peru;Americas;51;8;66.5;49.7;49.7;39.7136345313507;79.5;84.2;73.1;65.3;59.5756250050743;81.4;81.4;75;60;1.8;Peru;30,0;29.5;16.6;Peru;22.9686666666667;Peru;Peru;32.971846;397.612;-11.115;0.3124;11871.216;6.24;1.827;982,0;35.364
131;Philippines;Philippines;Asia-Pacific;80;15;61.1;47.1;25.6;34.7094200429265;76.8;84.2;81.8;61.5;57.9757522036802;69.4;73.8;60;60;5.6;Philippines. The  ;35,0;30,0;14,0;Philippines;22.968;Philippines;Philippines;109.581085;919.368;-9.513;3.3898;8452.403;3.36;2.635;6 542,0;47.071
132;Poland;Poland;Europe;39;25;68.7;72.3;54.7;60.5879500542878;73.6;41.9;78.3;78.7;55.7240365457682;79.1;79.2;80;70;2.9;Poland;32,0;19,0;35.38;Poland;43.9896666666667;Poland;Poland;37.950802;1294.478;-2.723;3.029;34102.774;3.55;3.4;10 080,0;57.688
133;Portugal;Portugal;Europe;31;21;70.8;89.9;92.1;67.7850794419386;60.4;39.5;72.8;76.2;55.4868027564439;86.8;79.2;70;60;2.9;Portugal;48,0;21,0;34.84;Portugal;44.9013333333333;Portugal;Portugal;10.305564;350.208;-7.587;0.6552;34042.658;7.2;-0.121;6 324,0;131.628
134;Qatar;Qatar;Middle East and North Africa;44;3;67.7;68.6;38.8;59.9697977084997;97.8;69.3;89.7;58.6;51.9375383963206;76,0;81.4;60;60;4.3;Qatar;0,0;0,0;14.7;Qatar;31.97;Qatar;Qatar;2.88106;261.979;-2.616;0.192;93508.38;3.45;-2.719;-2 434,0;71.779
135;Romania;Romania;Europe;47;28;67.1;81,0;64.8;45.4428170909989;94.3;63.9;42.8;71.4;64.0731132392662;78.8;79.2;70;50;2.9;Romania;10,0;16,0;14.6;Romania;34.6806666666667;Romania;Romania;19.286123;589.707;-3.9;3.3448;30526.307;4.84;2.646;2 322,0;50.105
136;Russia;Russia;Europe;113;43;56.1;36.8;34.7;29.6544416205588;93.1;62.6;99.3;62.5;57.2529390279749;68,0;69,0;30;30;5.5;Russia;13,0;20,0;11,0;Russia;35.2973333333333;Russia;Russia;144.10408;4096.528;-3.056;0.76;27903.302;5.73;3.378;9 676,0;19.345
137;Rwanda;Rwanda;Sub-Saharan Africa;105;16;57.1;61.1;26.6;54.6720786129034;79.1;76.3;61.6;50.7;42.5587477180629;74.4;58.2;60;40;13.4;Rwanda;30,0;30,0;17.1;Rwanda;28.115;Rwanda;Rwanda;12.952209;29.594;-0.199;5.5472;2336.728;1.35;8,0;135,0;60.962
138;Saint Lucia;SaintLucia;Americas;65;13;64.3;66.8;76.9;58.1087222343936;77.5;78.7;50.1;61.5;58.1953654537454;82.2;56.6;65;40;14.2;Saint Lucia;30,0;30,0;21.1;Saint Lucia;26.6626666666667;Saint Lucia;Saint. Lucia;0.183629;2.417;-18.85;-1.4462;13359.365;17.13;-1.753;15,0;84.408
139;Saint Vincent and the Grenadines;SaintVincentGrenadines;Americas;54;9;65.7;64,0;76.9;61.9857894635628;75.5;66.9;68.5;61.4;58.7509730289207;84.2;59.8;70;40;12.6;Saint Vincent and the Grenadines;30,0;30,0;25.4;Saint Vincent and the Grenadines;33.219;Saint Vincent and the Grenadines;Saint. Vincent and the Grenadines;0.110947;1.394;-4.18;0.2444;12606.055;20.27;-0.606;73,0;87.178
140;Samoa;Samoa;Asia-Pacific;40;7;68.3;78.4;78.4;53.7259448292879;78.6;68.5;95.6;61.5;71.6164084479638;81.4;66.4;55;30;9.3;Samoa;27,0;27,0;26.17;Samoa;32.383;Samoa;Samoa;0.19841;1.147;-3.154;1.4926;5652.893;8.87;1.48;-1,0;46.694
141;São Tomé and Príncipe;SaoTomePrincipe;Sub-Saharan Africa;85;7;60.3;44.1;62.2;48.7035017483012;88.2;83.1;85.9;49,0;41.6422016483222;65.9;65,0;60;30;10,0;São Tomé and Príncipe ;20,0;25,0;12.5;Sao Tomé and Principe;23.7276666666667;São Tomé and Príncipe;São Tomé and Príncipe;0.219161;0.835;-6.5;1.1746;3829.284;13.86;9.808;47,0;81.385
142;Saudi Arabia;SaudiArabia;Middle East and North Africa;118;9;55.5;46.7;35.8;50.6659199635464;99.3;57.3;17.9;68.1;41.2390506362816;79,0;74.8;45;50;5.1;Saudi Arabia;2.5;2.5;7.4;Saudi Arabia;37.7203333333333;Saudi Arabia;Saudi Arabia;34.813867;1627.305;-4.147;-0.0906;46810.63;8.22;3.438;5 486,0;32.435
143;Senegal;Senegal;Sub-Saharan Africa;88;8;60,0;58,0;49.8;47.7569346212835;72.3;82.1;56.7;57.9;53.912151300931;76.1;65.8;60;40;9.6;Senegal;40,0;30,0;16.5;Senegal;24.417;Senegal;Senegal;16.74393;58.267;0.828;5.0404;3478.479;7.1;2.533;1 481,0;65.811
144;Serbia;Serbia;Europe;59;35;65.2;58.8;50.4;37.9203580272117;90.9;42.5;85.7;74.4;62.8998864073692;81.6;77,0;70;50;6.5;Serbia ;10,0;15,0;24.1;Serbia;43.7713333333333;Serbia;Serbia;6.908224;132.792;-0.98;2.6408;19145.561;9.08;1.672;3 440,0;58.369
145;Seychelles;Seychelles;Sub-Saharan Africa;79;5;61.1;78.8;62.4;65.2134904011189;76.4;42.5;36.7;61.2;61.7040159092097;82.1;81.2;55;30;4.4;Seychelles;15,0;33,0;32.4;Seychelles;43.7766666666667;Seychelles;Seychelles;0.098462;2.471;-13.359;-0.1464;25413.871;n/a;1.203;122,0;98.375
146;Sierra Leone;SierraLeone;Sub-Saharan Africa;140;30;52,0;43.1;41.9;32.3969416920217;86.7;84.9;54,0;34.4;38.1887405409485;65.1;63.6;60;20;13.2;Sierra Leone;15,0;30,0;14.4;Sierra Leone;22.4163333333333;Sierra Leone;Sierra Leone;7.976985;13.772;-2.249;3.3686;1724.897;4.6;15.696;349,0;71.947
147;Singapore;Singapore;Asia-Pacific;1;1;84.4;94.4;58.3;92.7963971321789;90.5;90.1;79.6;83.1;77.0303863961474;86.5;95,0;85;80;0,0;Singapore;22,0;17,0;13.2;Singapore;18.1646666666667;Singapore;Singapore;5.685807;560.205;-5.391;1.46;97056.534;5.19;-0.182;90 562,0;128.371
148;Slovakia;Slovakia;Europe;36;23;69.7;83.2;71.9;53.7094325286556;77.3;41.8;76,0;75.9;56.5476589113606;75.5;79.2;75;70;2.9;Slovak Republic;25,0;21,0;34.74;Slovakia;44.0506666666667;Slovak Republic;Slovak Republic;5.458827;178.526;-5.2;1.2124;32709.862;6.79;2.01;-1 930,0;60.661
149;Slovenia;Slovenia;Europe;32;22;70.5;89.7;91.6;66.7499322916898;57.2;36.4;77.4;79.7;63.326397460464;85.1;79.2;70;50;2.9;Slovenia;50,0;19,0;37.65;Slovenia;46.0383333333333;Slovenia;Slovenia;2.100126;81.334;-5.532;2.0044;38807.008;5.17;-0.051;529,0;81.452
150;Solomon Islands;SolomonIslands;Asia-Pacific;110;22;56.5;50.6;59.5;42.3394136303428;70.5;60.1;98,0;44.4;60.2175786020928;79,0;68.6;15;30;8.2;Solomon Islands;40,0;30,0;21.16;Solomon Islands;36.4686666666667;Solomon Islands;Solomon Islands;0.686878;1.608;-4.32;2.4094;2454.821;0.79;3.436;9,0;13.939
184;Somalia;Somalia;Sub-Saharan Africa;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Somalia;N/A;N/A;N/A;Somalia;N/A;Somalia;Somalia;15.893219;13.91;-1.5;1.6958;924.532;13.1;n/a;464,0;n/a
151;South Africa;SouthAfrica;Sub-Saharan Africa;112;17;56.2;43.2;61.3;48.3549873913988;63.4;68.1;8.1;65.7;71.069497575691;78,0;72.2;45;50;6.4;South Africa;45,0;28,0;29.1;South Africa;32.6316666666667;South Africa;South Africa;59.30869;717.396;-6.96;-0.8412;12032.412;28.74;3.268;3 106,0;77.064
152;Spain;Spain;Europe;41;26;68.2;87.7;74.3;67.2201605730915;59.7;38.3;29.7;75.2;61.8261194243642;85.4;84.2;85;70;2.9;Spain;47,0;25,0;34.65;Spain;45.3396666666667;Spain;Spain;47.351567;1808.666;-10.964;-0.1154;38392.273;15.67;-0.323;8 928,0;117.083
153;Sri Lanka;SriLanka;Asia-Pacific;132;28;53.3;51.7;57.7;40.0868832081439;90.3;87.4;0,0;58.3;55.6685340166553;71.6;47,0;40;40;19,0;Sri Lanka;18,0;24,0;8.12;Sri Lanka;20.4646666666667;Sri Lanka;Sri Lanka;21.919;289.891;-3.569;2.0046;13214.802;4.84;4.557;434,0;100.078
154;Sudan;Sudan;Sub-Saharan Africa;174;47;32,0;22.2;13.2;14.5843843776554;84.9;92.9;0,0;25,0;44.7559261511036;13.7;48,0;5;20;16,0;Sudan;15,0;35,0;7.8;Sudan;15.4183333333333;Sudan;Sudan;43.849269;181.714;-3.63;-0.857;4097.683;17.71;163.259;717,0;262.519
155;Suriname;Suriname;Americas;156;29;48.1;51.2;45.8;37.6436589523144;70.2;66.6;0,0;52.7;64.2259554342565;58.4;60.6;40;30;12.2;Suriname;38,0;36,0;15.5;Suriname;33.3663333333333;Suriname;Suriname;0.586634;8.771;-13.455;-2.881;14513.354;8.65;34.913;-27,0;165.766
157;Sweden;Sweden;Europe;11;8;77.9;97.3;97.1;95.7062184939795;44.9;26.4;95.8;84.6;65.4437867863378;83.6;79.2;85;80;2.9;Sweden;57,0;20.6;42.91;Sweden;49.54;Sweden;Sweden;10.353442;561.999;-2.818;1.0282;54146.128;8.5;0.657;26 109,0;38.489
158;Switzerland;Switzerland;Europe;2;1;84.2;95.2;98,0;92.3234286254565;70.1;67.2;96.3;84.3;59.9765125011875;84.9;86.6;85;90;1.7;Switzerland;40,0;24,0;28.53;Switzerland;33.0823333333333;Switzerland;Switzerland;8.636896;627.151;-2.983;0.961;72873.716;4.94;-0.726;-47 172,0;42.949
159;Syria;Syria;Middle East and North Africa;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Syria;22,0;28,0;N/A;Syria;N/A;Syria;Syria;17.500657;n/a;-10.5;-1.4;n/a;9.03;n/a;n/a;52.7
160;Taiwan ;Taiwan;Asia-Pacific;6;3;80.1;81.3;94.2;73.759428189919;79.2;90.7;86.6;84.3;68.7486232150256;86.1;86,0;70;60;2,0;Taiwan;40,0;20,0;9,0;Taiwan;17.6383333333333;Taiwan ;Taiwan ;23.6;1316.049;3.109;2.8672;55723.903;4.54;-0.17;8 802,0;33.67
