Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","29","Burundi","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","43.35","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","29","Burundi","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","46","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","29","Burundi","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","3.07","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","35","Cabo Verde","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","2583","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","35","Cabo Verde","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","71.9","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","35","Cabo Verde","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","426","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","35","Cabo Verde","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","25.98","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","115","Cambodge","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","2700","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","115","Cambodge","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","65.53","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","115","Cambodge","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","210","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","115","Cambodge","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","18.72","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","32","Cameroun","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","2770","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","32","Cameroun","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","72.03","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","32","Cameroun","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","114","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","32","Cameroun","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","11.01","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","33","Canada","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","3539","Fc","Donnée calculée"
