,Area Code,Area,Year,Food supply (kcal/capita/day),Protein supply quantity (g/capita/day),Animal protein (%),population 2017,population 2019 (1000 p),Population difference (%),Poultry quantity (%),Poultry Meat Production (1000 tonnes)
28,45,Comoros,2019,2285.0,57.57,8.052516411378555,814,851,4.545454545454546,1.7852822157609185,1.0
29,46,Congo,2019,2183.0,53.11,10.169491525423728,5111,5381,5.282723537468206,6.2809882090123565,7.0
30,48,Costa Rica,2019,2996.0,80.84,23.130841121495326,4950,5048,1.97979797979798,5.916317647273991,145.0
31,49,Cuba,2019,3375.0,82.59,15.644444444444444,11339,11333,-0.05291471911103272,5.399387113140538,25.0
32,50,Cyprus,2019,3046.0,92.38,22.52133946158897,1180,1199,1.6101694915254237,5.574137202169474,27.0
33,52,Azerbaijan,2019,3154.0,95.92,18.357641090678502,9845,10048,2.0619603859827325,3.012386966756717,112.0
34,53,Benin,2019,2775.0,62.92,4.612612612612613,11175,11801,5.60178970917226,2.4115315315315313,15.0
35,54,Denmark,2019,3421.0,115.38,36.36363636363637,5732,5772,0.6978367062107467,4.827219470394381,158.0
36,55,Dominica,2019,2929.0,81.47,22.396722430863775,71,72,1.408450704225352,9.071888577615438,0.0
37,56,Dominican Republic,2019,2970.0,69.79,17.037037037037038,10513,10739,2.149719395034719,8.294063926940638,355.0
38,57,Belarus,2019,3295.0,91.65,25.371775417298938,9450,9452,0.021164021164021163,5.683497204149085,467.0
39,58,Ecuador,2019,2563.0,64.09,22.2395630120952,16785,17374,3.509085492999702,4.596080150080973,312.0
40,59,Egypt,2019,3307.0,95.52,8.07378288478984,96443,100388,4.0904990512530714,2.940338261305409,1443.0
41,60,El Salvador,2019,2739.0,77.77,15.735669952537423,6388,6454,1.0331872260488415,6.079381035974533,147.0
42,63,Estonia,2019,3167.0,102.35,34.92263972213451,1319,1326,0.530705079605762,4.540349754099424,20.0
43,66,Fiji,2019,2859.0,77.9,18.083245890171387,877,890,1.4823261117445838,9.429132707575693,35.0
44,67,Finland,2019,3320.0,117.47,38.463855421686745,5511,5532,0.38105606967882416,3.9090443967651427,139.0
45,68,France,2019,3532.0,109.73,31.62514156285391,66769,65130,-2.4547319864008745,4.336252501590158,1660.0
46,70,French Polynesia,2019,2921.0,95.58,28.141047586442998,276,279,1.0869565217391304,11.132179353102005,1.0
47,72,Djibouti,2019,2795.0,65.93,7.191413237924865,944,974,3.1779661016949152,0.8246428308868575,
48,73,Georgia,2019,2860.0,79.11,19.65034965034965,4009,3997,-0.29932651534048393,3.871529840022991,22.0
49,74,Gabon,2019,2633.0,78.93,13.900493733383973,2065,2173,5.230024213075061,8.646868773054331,4.0
50,75,Gambia,2019,2483.0,62.82,8.01449859041482,2214,2348,6.052393857271906,2.966749237279252,2.0
51,79,Germany,2019,3559.0,104.24,29.699353751053668,82658,83517,1.0392218539040383,3.3135288887520353,1544.0
52,80,Bosnia and Herzegovina,2019,3320.0,98.21,17.951807228915662,3352,3301,-1.5214797136038185,3.317362601089289,70.0
53,81,Ghana,2019,3114.0,61.76,3.9820166987797045,29121,30418,4.453830569005185,1.5160785141781266,66.0
54,83,Kiribati,2019,3071.0,70.35,11.592315206773039,114,118,3.508771929824561,3.264377762809848,1.0
55,84,Greece,2019,3396.0,107.35,24.823321554770317,10569,10473,-0.9083167754754471,4.937952788937832,230.0
56,86,Grenada,2019,2479.0,72.51,24.00161355385236,111,112,0.9009009009009009,11.835959042256324,0.0
57,89,Guatemala,2019,2556.0,69.69,11.150234741784038,16915,17581,3.9373337274608335,4.954509400390164,234.0
