,Area Code,Area,Year,Food supply (kcal/capita/day),Protein supply quantity (g/capita/day),Animal protein (%),population 2017,population 2019 (1000 p),Population difference (%),Poultry quantity (%),Poultry Meat Production (1000 tonnes),Country Code,GDP 2017,2018,2019,2020,Region,GDP 2017 (milliards),GDP per capita,Range GDP per capita
27,44,Colombia,2019,2992.0,72.72,18.683155080213904,48910,50339,2.921692905336332,1.200200534759358,1693.0,COL,6376.706715526011,6729.583331981679,6424.9794924083,5334.556042339171,Latin America & Caribbean,6.376706715526011e-06,126.6752759396494,"(66.911, 312.044]"
28,45,Comoros,2019,2285.0,57.57,8.052516411378555,814,851,4.545454545454546,0.2726477024070022,1.0,COM,1323.8148430129402,1428.2904632432198,1401.54231196814,1420.66174747221,Sub-Saharan Africa,1.3238148430129402e-06,1555.5991104734903,"(1110.26, 6898.826]"
29,46,"Congo, Rep.",2019,2183.0,53.11,10.169491525423728,5111,5381,5.282723537468206,0.9592304168575355,7.0,COG,2169.9915035396302,2606.6153307839,2369.72949429109,1846.13129708695,Sub-Saharan Africa,2.16999150353963e-06,403.2691885410946,"(312.044, 1110.26]"
30,48,Costa Rica,2019,2996.0,80.84,23.130841121495326,4950,5048,1.97979797979798,0.9035380507343124,145.0,CRI,12225.5744931403,12485.423896168,12693.8279560372,12140.8541545754,Latin America & Caribbean,1.2225574493140301e-05,2421.86499467914,"(1110.26, 6898.826]"
31,49,Cuba,2019,3375.0,82.59,15.644444444444444,11339,11333,-0.05291471911103272,0.8245925925925925,25.0,CUB,8541.21368643707,8824.19400843842,9125.8786794952,9477.85287326771,Latin America & Caribbean,8.54121368643707e-06,753.6586681758642,"(312.044, 1110.26]"
32,50,Cyprus,2019,3046.0,92.38,22.52133946158897,1180,1199,1.6101694915254237,0.8512803676953381,27.0,CYP,26608.8750916456,29334.110934865697,29206.0767190775,27527.8453055825,Europe & Central Asia,2.66088750916456e-05,22192.556373349125,"(6898.826, 384617.885]"
33,52,Azerbaijan,2019,3154.0,95.92,18.357641090678502,9845,10048,2.0619603859827325,0.46005072923272033,112.0,AZE,4147.08971569171,4739.841710283929,4805.75371765917,4221.40747847848,Europe & Central Asia,4.14708971569171e-06,412.7278777559424,"(312.044, 1110.26]"
34,53,Benin,2019,2775.0,62.92,4.612612612612613,11175,11801,5.60178970917226,0.36828828828828836,15.0,BEN,1136.5938717844801,1241.8252980095801,1219.51550596905,1291.04097215441,Sub-Saharan Africa,1.1365938717844801e-06,96.31335240949751,"(66.911, 312.044]"
35,54,Denmark,2019,3421.0,115.38,36.36363636363637,5732,5772,0.6978367062107467,0.7372113417129494,158.0,DNK,57610.0981801135,61591.928869895804,59775.735096451506,61063.3164304238,Europe & Central Asia,5.76100981801135e-05,9980.959490664154,"(6898.826, 384617.885]"
36,55,Dominica,2019,2929.0,81.47,22.396722430863775,71,72,1.408450704225352,1.3854557869580062,0.0,DMA,7274.517730717,7687.46296348005,8516.280038951609,7003.859021472329,Latin America & Caribbean,7.274517730717e-06,101034.96848218054,"(6898.826, 384617.885]"
37,56,Dominican Republic,2019,2970.0,69.79,17.037037037037038,10513,10739,2.149719395034719,1.2666666666666666,355.0,DOM,7609.35327534023,8050.644076234159,8282.117130509208,7268.1969096591,Latin America & Caribbean,7.60935327534023e-06,708.571866592814,"(312.044, 1110.26]"
38,57,Belarus,2019,3295.0,91.65,25.371775417298938,9450,9452,0.021164021164021163,0.8679817905918058,467.0,BLR,5785.67067254068,6360.062473012839,6837.717826063511,6424.15217642722,Europe & Central Asia,5.7856706725406805e-06,612.1107355629158,"(312.044, 1110.26]"
39,58,Ecuador,2019,2563.0,64.09,22.2395630120952,16785,17374,3.509085492999702,0.7019118220834958,312.0,ECU,6213.503127368879,6295.934661639921,6222.52465327248,5600.38961495341,Latin America & Caribbean,6.213503127368879e-06,357.63227393627716,"(312.044, 1110.26]"
40,59,"Egypt, Arab Rep.",2019,3307.0,95.52,8.07378288478984,96443,100388,4.0904990512530714,0.44904747505291803,1443.0,EGY,2444.29038718448,2537.12518504712,3019.09228346646,3569.20684121108,Middle East & North Africa,2.44429038718448e-06,24.34843195585608,"(1.449, 66.911]"
41,60,El Salvador,2019,2739.0,77.77,15.735669952537423,6388,6454,1.0331872260488415,0.9284410368747719,147.0,SLV,3910.2544033271706,4052.62477533742,4167.73093878563,3798.6365208232105,Latin America & Caribbean,3.91025440332717e-06,605.8652623686351,"(312.044, 1110.26]"
