Area Code,Area,Year,Food supply (kcal/capita/day),Protein supply quantity (g/capita/day),Animal protein (%),population 2017,population 2019 (1000 p),Population difference (%),Poultry quantity (%),Poultry Meat Production (1000 tonnes),Country Code,GDP per capita,Region
107,Cote d'Ivoire,2019,2841.0,59.27,3.942,24437,25717,5.238,0.486,53.0,CIV,2276.332,Sub-Saharan Africa
108,Kazakhstan,2019,3331.0,104.1,27.559,18080,18551,2.605,3.768,214.0,KAZ,9812.596,Europe & Central Asia
109,Jamaica,2019,2770.0,77.09,19.061,2921,2948,0.924,12.909,134.0,JAM,5369.498,Latin America & Caribbean
110,Japan,2019,2691.0,88.02,21.145,127503,126860,-0.504,4.706,2298.0,JPN,40777.609,East Asia & Pacific
112,Jordan,2019,2529.0,63.72,14.472,9786,10102,3.229,6.069,185.0,JOR,4405.487,Middle East & North Africa
113,Kyrgyz Republic,2019,2728.0,84.85,21.591,6190,6416,3.651,1.56,8.0,KGZ,1374.032,Europe & Central Asia
114,Kenya,2019,2205.0,61.19,11.701,50221,52574,4.685,0.481,89.0,KEN,1912.648,Sub-Saharan Africa
115,Cambodia,2019,2700.0,65.53,7.778,16009,16487,2.986,0.521,28.0,KHM,1643.121,East Asia & Pacific
116,"Korea, Dem. People's Rep.",2019,2097.0,55.02,6.295,25430,25666,0.928,0.503,44.0,PRK,31936.0,East Asia & Pacific
117,"Korea, Rep.",2019,3453.0,99.0,20.012,51096,51225,0.252,4.018,951.0,KOR,31936.796,East Asia & Pacific
118,Kuwait,2019,3449.0,101.02,18.991,4056,4207,3.723,9.217,56.0,KWT,32373.251,Middle East & North Africa
119,Latvia,2019,3253.0,94.52,29.634,1951,1907,-2.255,4.219,35.0,LVA,17926.842,Europe & Central Asia
120,Lao PDR,2019,2762.0,75.1,10.246,6953,7169,3.107,1.325,36.0,LAO,2635.8,East Asia & Pacific
121,Lebanon,2019,2870.0,71.41,12.718,6819,6856,0.543,3.968,126.0,LBN,7578.172,Middle East & North Africa
122,Lesotho,2019,2190.0,61.52,12.511,2092,2125,1.577,2.222,2.0,LSO,1113.372,Sub-Saharan Africa
123,Liberia,2019,2149.0,42.11,5.817,4702,4937,4.998,3.205,16.0,LBR,672.34,Sub-Saharan Africa
124,Libya,2019,3141.0,83.16,13.69,6581,6777,2.978,6.15,124.0,LBY,7685.948,Middle East & North Africa
126,Lithuania,2019,3410.0,116.04,28.152,2845,2760,-2.988,5.809,100.0,LTU,19575.768,Europe & Central Asia
129,Madagascar,2019,1912.0,42.66,6.642,25571,26969,5.467,1.086,85.0,MDG,522.99,Sub-Saharan Africa
130,Malawi,2019,2600.0,70.01,11.0,17670,18629,5.427,1.838,136.0,MWI,591.846,Sub-Saharan Africa
131,Malaysia,2019,2931.0,77.53,17.639,31105,31950,2.717,8.769,1717.0,MYS,11432.823,East Asia & Pacific
132,Maldives,2019,2212.0,80.01,24.774,496,531,7.056,3.902,0.0,MDV,10561.614,South Asia
133,Mali,2019,2888.0,80.42,8.102,18512,19658,6.191,0.551,55.0,MLI,879.043,Sub-Saharan Africa
134,Malta,2019,3379.0,105.36,26.99,438,440,0.457,4.922,4.0,MLT,30186.196,Middle East & North Africa
136,Mauritania,2019,2875.0,82.92,15.304,4283,4526,5.674,1.533,5.0,MRT,1743.303,Sub-Saharan Africa
137,Mauritius,2019,3033.0,87.14,16.255,1264,1270,0.475,9.033,51.0,MUS,11097.169,Sub-Saharan Africa
138,Mexico,2019,3163.0,91.65,22.131,124777,127576,2.243,7.372,3515.0,MEX,9950.45,Latin America & Caribbean
141,Mongolia,2019,2880.0,103.74,45.417,3114,3225,3.565,0.7,0.0,MNG,4404.846,East Asia & Pacific
143,Morocco,2019,3365.0,99.15,9.955,35581,36472,2.504,4.009,861.0,MAR,3235.001,Middle East & North Africa
144,Mozambique,2019,2130.0,47.3,4.789,28649,30366,5.993,1.211,112.0,MOZ,506.642,Sub-Saharan Africa
146,Moldova,2019,2687.0,69.84,20.878,4060,4043,-0.419,4.062,43.0,MDA,4491.689,Europe & Central Asia
147,Namibia,2019,2474.0,65.58,12.409,2403,2495,3.829,3.033,11.0,NAM,5009.686,Sub-Saharan Africa
149,Nepal,2019,2883.0,74.9,8.533,27633,28609,3.532,0.502,63.0,NPL,1194.957,South Asia
150,Netherlands,2019,3353.0,108.11,34.477,17021,17097,0.447,1.043,1036.0,NLD,52476.273,Europe & Central Asia
153,New Caledonia,2019,2854.0,88.28,26.559,277,283,2.166,8.514,1.0,NCL,34788.529,East Asia & Pacific
154,North Macedonia,2019,3095.0,84.27,18.934,2082,2083,0.048,4.238,1.0,MKD,6070.388,Europe & Central Asia
155,Vanuatu,2019,2605.0,64.49,15.202,286,300,4.895,3.187,1.0,VUT,3116.298,East Asia & Pacific
156,New Zealand,2019,3228.0,96.45,29.988,4702,4783,1.723,5.986,240.0,NZL,42755.216,East Asia & Pacific
157,Nicaragua,2019,2620.0,65.87,11.221,6385,6546,2.522,4.993,140.0,NIC,1926.7,Latin America & Caribbean
158,Niger,2019,2623.0,84.82,5.871,21602,23311,7.911,0.28,19.0,NER,554.099,Sub-Saharan Africa
159,Nigeria,2019,2565.0,58.13,3.041,190873,200964,5.287,0.319,240.0,NGA,2229.859,Sub-Saharan Africa
162,Norway,2019,3449.0,116.28,31.893,5296,5379,1.567,3.818,107.0,NOR,75719.753,Europe & Central Asia
165,Pakistan,2019,2483.0,66.04,22.996,207906,216565,4.165,1.295,1523.0,PAK,1288.556,South Asia
166,Panama,2019,2977.0,87.87,23.581,4107,4246,3.384,12.377,224.0,PAN,15774.255,Latin America & Caribbean
167,Czech Republic,2019,3286.0,86.77,28.758,10641,10689,0.451,4.549,170.0,CZE,23660.149,Europe & Central Asia
168,Papua New Guinea,2019,2244.0,64.31,14.706,8438,8776,4.006,1.118,7.0,PNG,2820.306,East Asia & Pacific
169,Paraguay,2019,2770.0,70.05,13.249,6867,7045,2.592,2.414,77.0,PRY,5380.963,Latin America & Caribbean
170,Peru,2019,2786.0,88.55,16.475,31444,32510,3.39,9.519,1763.0,PER,7027.612,Latin America & Caribbean
171,Philippines,2019,2809.0,65.26,14.845,105173,108117,2.799,3.098,1466.0,PHL,3485.341,East Asia & Pacific
173,Poland,2019,3508.0,104.96,28.706,37953,37888,-0.171,5.322,2558.0,POL,15732.203,Europe & Central Asia
174,Portugal,2019,3458.0,117.74,30.22,10289,10226,-0.612,6.188,350.0,PRT,23330.817,Europe & Central Asia
175,Guinea-Bissau,2019,2230.0,43.28,6.547,1828,1921,5.088,0.737,3.0,GNB,749.454,Sub-Saharan Africa
176,Timor-Leste,2019,2232.0,48.18,8.781,1243,1293,4.023,2.587,1.0,TLS,1583.714,East Asia & Pacific
181,Zimbabwe,2019,1707.0,38.21,8.202,14237,14645,2.866,1.404,52.0,ZWE,1316.741,Sub-Saharan Africa
183,Romania,2019,3588.0,107.75,26.059,19654,19365,-1.47,4.353,507.0,ROU,12899.346,Europe & Central Asia
184,Rwanda,2019,2214.0,58.83,4.652,11981,12627,5.392,0.497,19.0,RWA,820.149,Sub-Saharan Africa
185,Russian Federation,2019,3363.0,104.83,25.899,145530,145872,0.235,6.104,4606.0,RUS,11497.649,Europe & Central Asia
188,St. Kitts and Nevis,2019,2553.0,71.3,25.813,52,53,1.923,13.273,0.0,KNA,22046.69,Latin America & Caribbean
189,St. Lucia,2019,2633.0,84.3,26.548,181,183,1.105,7.63,1.0,LCA,11591.08,Latin America & Caribbean
191,St. Vincent and the Grenadines,2019,2949.0,91.46,21.533,110,111,0.909,17.046,0.0,VCT,7460.153,Latin America & Caribbean
193,Sao Tome and Principe,2019,2402.0,54.56,8.326,207,215,3.865,3.645,1.0,STP,1987.58,Sub-Saharan Africa
194,Saudi Arabia,2019,3302.0,89.55,14.082,33101,34269,3.529,8.295,800.0,SAU,23139.798,Middle East & North Africa
195,Senegal,2019,2601.0,64.39,6.382,15419,16296,5.688,1.772,114.0,SEN,1430.148,Sub-Saharan Africa
196,Seychelles,2019,3123.0,95.8,19.725,96,98,2.083,8.429,1.0,SYC,16213.481,Sub-Saharan Africa
197,Sierra Leone,2019,2332.0,50.33,3.945,7488,7813,4.34,1.134,20.0,SLE,521.755,Sub-Saharan Africa
198,Slovenia,2019,3149.0,95.34,25.786,2076,2079,0.145,5.022,70.0,SVN,25942.955,Europe & Central Asia
199,Slovak Republic,2019,2914.0,71.07,31.503,5448,5457,0.165,3.323,71.0,SVK,19303.546,Europe & Central Asia
202,South Africa,2019,2898.0,79.77,16.08,57010,58558,2.715,8.432,1816.0,ZAF,6624.762,Sub-Saharan Africa
203,Spain,2019,3348.0,108.54,26.045,46647,46737,0.193,6.521,1631.0,ESP,29555.316,Europe & Central Asia
207,Suriname,2019,2758.0,68.04,15.664,570,581,1.93,12.341,11.0,SUR,6853.693,Latin America & Caribbean
208,Tajikistan,2019,2484.0,71.64,15.298,8880,9321,4.966,1.031,16.0,TJK,890.544,Europe & Central Asia
209,Eswatini,2019,2544.0,60.03,10.77,1125,1148,2.044,1.843,6.0,SWZ,3915.643,Sub-Saharan Africa
210,Sweden,2019,3184.0,108.1,32.915,9905,10036,1.323,3.517,158.0,SWE,51939.43,Europe & Central Asia
211,Switzerland,2019,3379.0,97.16,33.56,8456,8591,1.596,3.36,99.0,CHE,85334.519,Europe & Central Asia
212,Syrian Arab Republic,2019,2760.0,74.09,15.217,17096,17070,-0.152,1.903,122.0,SYR,1334.371,Middle East & North Africa
213,Turkmenistan,2019,2879.0,89.97,21.952,5758,5942,3.196,1.076,21.0,TKM,7612.035,Europe & Central Asia
215,Tanzania,2019,2374.0,60.08,6.908,54660,58005,6.12,0.411,81.0,TZA,1085.885,Sub-Saharan Africa
216,Thailand,2019,2808.0,60.83,12.749,69210,69626,0.601,2.544,1775.0,THA,7817.01,East Asia & Pacific
217,Togo,2019,2464.0,56.8,4.343,7698,8082,4.988,2.251,44.0,TGO,893.352,Sub-Saharan Africa
220,Trinidad and Tobago,2019,2959.0,85.05,20.919,1384,1395,0.795,14.098,62.0,TTO,16637.163,Latin America & Caribbean
221,Oman,2019,2951.0,84.67,19.722,4666,4975,6.622,5.032,7.0,OMN,17700.703,Middle East & North Africa
222,Tunisia,2019,3499.0,100.76,11.46,11433,11695,2.292,3.241,223.0,TUN,3574.654,Middle East & North Africa
