Country Name;Region;World Rank;Region Rank;2022 Score;Property Rights;Judical Effectiveness;Government Integrity;Tax Burden;Gov't Spending;Fiscal Health;Business Freedom;Labor Freedom;Monetary Freedom;Trade Freedom;Investment Freedom ;Financial Freedom;Tariff Rate (%);Income Tax Rate (%);Corporate Tax Rate (%);Tax Burden % of GDP;Gov't Expenditure % of GDP ;Population (Millions);GDP (Billions, PPP);GDP Growth Rate (%);5 Year GDP Growth Rate (%);GDP per Capita (PPP);Unemployment (%);Inflation (%);FDI Inflow (Millions);Public Debt (% of GDP)
South Africa;Sub-Saharan Africa;112;17;56.2;43.2;61.3;48.3549873913988;63.4;68.1;8.1;65.7;71.069497575691;78;72.2;45;50;6.4;45;28;29.1;32.6316666666667;59.30869;717.396;-6.96;-0.8412;12032.412;28.74;3.268;3106;77.064
Spain;Europe;41;26;68.2;87.7;74.3;67.2201605730915;59.7;38.3;29.7;75.2;61.8261194243642;85.4;84.2;85;70;2.9;47;25;34.65;45.3396666666667;47.351567;1808.666;-10.964;-0.1154;38392.273;15.67;-0.323;8928;117.083
Sri Lanka;Asia-Pacific;132;28;53.3;51.7;57.7;40.0868832081439;90.3;87.4;0;58.3;55.6685340166553;71.6;47;40;40;19;18;24;8.12;20.4646666666667;21.919;289.891;-3.569;2.0046;13214.802;4.84;4.557;434;100.078
Sudan;Sub-Saharan Africa;174;47;32;22.2;13.2;14.5843843776554;84.9;92.9;0;25;44.7559261511036;13.7;48;5;20;16;15;35;7.8;15.4183333333333;43.849269;181.714;-3.63;-0.857;4097.683;17.71;163.259;717;262.519
Suriname;Americas;156;29;48.1;51.2;45.8;37.6436589523144;70.2;66.6;0;52.7;64.2259554342565;58.4;60.6;40;30;12.2;38;36;15.5;33.3663333333333;0.586634;8.771;-13.455;-2.881;14513.354;8.65;34.913;-27;165.766
Sweden;Europe;11;8;77.9;97.3;97.1;95.7062184939795;44.9;26.4;95.8;84.6;65.4437867863378;83.6;79.2;85;80;2.9;57;20.6;42.91;49.54;10.353442;561.999;-2.818;1.0282;54146.128;8.5;0.657;26109;38.489
Switzerland;Europe;2;1;84.2;95.2;98;92.3234286254565;70.1;67.2;96.3;84.3;59.9765125011875;84.9;86.6;85;90;1.7;40;24;28.53;33.0823333333333;8.636896;627.151;-2.983;0.961;72873.716;4.94;-0.726;-47172;42.949
Syria;Middle East and North Africa;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;22;28;N/A;N/A;17.500657;n/a;-10.5;-1.4;n/a;9.03;n/a;n/a;52.7
Taiwan ;Asia-Pacific;6;3;80.1;81.3;94.2;73.759428189919;79.2;90.7;86.6;84.3;68.7486232150256;86.1;86;70;60;2;40;20;9;17.6383333333333;23.6;1316.049;3.109;2.8672;55723.903;4.54;-0.17;8802;33.67
Tajikistan;Asia-Pacific;147;30;49.7;29.5;9.1;17.8370634468318;95.3;72.4;80;56.9;43.1255576781662;67.1;69.6;25;30;7.7;13;15;9;30.3376666666667;9.537642;34.827;4.5;6.66;3675.627;7.5;8.589;107;48.136
Tanzania;Sub-Saharan Africa;93;10;59.5;36.9;27;36.9392834561868;80.6;91.9;93.3;46.3;61.9613062394478;73.8;59.8;55;50;10.1;30;30;11.7;16.47;59.734213;163.598;1.029;5.7198;2820.598;2.16;3;1013;38.182
Thailand;Asia-Pacific;70;13;63.2;44.2;36.2;38.456805543754;81.3;84.4;89.8;63.4;59.6133310610973;74.2;71.6;55;60;6.7;35;20;15.8;22.8246666666667;69.799978;1272.898;-6.087;1.5964;18236.36;1.02;-0.847;-6100;49.637
Timor-Leste;Asia-Pacific;164;37;46.3;30.8;35.3;38.2463380194886;97.6;0;19.7;57.9;56.1972866213895;79.5;75;45;20;2.5;10;10;6.32;76.6876666666667;1.318442;4.459;-6.8;-1.3584;3382.312;5.06;0.488;72;12.182
Togo;Sub-Saharan Africa;104;15;57.2;36.8;35.1;28.8323507374514;68.7;88.9;88.8;51.5;54.4551850188905;77.3;65.6;60;30;12.2;45;27;19.4;19.244;8.278737;18.218;0.7;4.2158;2198.994;4.05;1.831;639;57.6
Tonga;Asia-Pacific;83;17;60.8;64.2;68.1;40.5145129377233;85.4;54.6;96.5;58.7;55.8241757194276;71.9;73.4;40;20;5.8;20;25;20.88;38.898;0.105697;0.62;-0.466;2.0922;6191.05;4.37;0.242;0;41.561
Trinidad and Tobago;Americas;99;21;58.8;58.8;59.3;44.2349647247022;79.1;69;12.9;60.9;57.4003122372385;84.6;68.8;60;50;8.1;25;30;23.7;32.1463333333333;1.399491;35.031;-7.832;-3.5202;25031.373;6.74;0.599;-439;59.378
Tunisia;Middle East and North Africa;128;10;54.2;60.9;49.5;47.3304054184151;75.2;67;20.8;57.7;55.9558949611446;74.4;66.2;45;30;9.4;35;15;32.1;33.172;11.818618;120.457;-8.8;-0.3912;10119.767;16.69;5.687;652;87.635
Turkey;Europe;107;42;56.9;42;25.6;39.3965126516196;74.7;63.8;59.2;63.4;47.0919868942628;61.9;75.6;70;60;4.7;40;20;23.08;34.7393333333333;84.339067;2546.498;1.794;3.299;30252.675;13.92;12.279;7880;36.765
Turkmenistan;Asia-Pacific;165;38;46.2;19;8.3;7.41291941844826;92.6;94.5;98;37.5;30.6833607468064;72.7;74.2;10;10;2.9;10;20;15.56;13.4983333333333;6.031187;98.192;0.782;5.1866;16520.714;4.38;7.583;1169;31.032
Uganda;Sub-Saharan Africa;127;24;54.2;48.3;29.2;24.0316298610802;73.6;89.8;53.5;46.5;54.7045447895774;78.2;57.8;55;40;13.6;40;30;11.8;18.4826666666667;45.741;106.106;-2.104;3.904;2573.998;2.44;3.792;823;45.744
Ukraine;Europe;130;44;54.1;39.7;31.4;33.8288103296614;89.1;44.5;73.6;61.1;60.68860071584;71.2;78.6;35;30;3.2;20;18;19.2;43.02;44.134693;543.828;-4.218;1.4606;13109.593;9.48;2.74;-868;60.747
United Arab Emirates;Middle East and North Africa;33;1;70.2;63.5;35.4;71.8415094474586;100;71.5;92.8;73.2;64.9220632496099;80.8;78.2;50;60;3.4;0;0;1;30.8486666666667;9.8904;650.829;-5.924;0.4758;58753.003;5;-2.074;19884;38.329
United Kingdom;Europe;24;17;72.7;96.2;85.9;87.0809050372283;65.4;46.3;22.6;79.1;62.0633691361989;83;84.2;80;80;2.9;45;19;32.7;42.3273333333333;67.215293;2959.924;-9.92;-0.7542;44116.865;4.34;0.851;19724;103.659
United States;Americas;25;3;72.1;95.7;77.9;75.7304409299298;75.9;54.5;0;87.5;75.8268325291361;82.3;75.2;85;80;2.4;37;21;24.47;38.943;329.484123;20932.75;-3.505;1.1394;63415.985;8.31;1.248;156321;127.113
Uruguay;Americas;34;5;70;84;80.4;75.2156139542407;72.4;70.2;75.2;75.7;60.3323663521889;70.9;70.4;75;30;9.8;36;25;29;31.499;3.473727;79.302;-5.7;-0.3146;22459.484;12.67;9.756;2630;66.264
Uzbekistan;Asia-Pacific;117;25;55.7;31.6;13.1;23.8259788689893;90.8;78.1;96.6;59.1;47.9848926194317;61.6;75.6;50;40;4.7;22;7.5;19.56;26.9913333333333;34.23205;252.576;1.648;4.6896;7449.334;5.97;12.855;1726;37.908
Vanuatu;Asia-Pacific;72;14;62.9;57.8;71.2;42.4363901910559;96.8;60.1;96.1;49.1;40.0266384410406;74.4;61.6;65;40;9.2;0;0;17.84;36.4816666666667;0.30715;0.777;-9.235;1.587;2585.77;1.95;2.915;30;44.208
Venezuela;Americas;176;32;24.8;0.2;4.6;7.12549391909983;74.1;78.3;0;30.8;37.5754467462576;0;54.8;0;10;12.6;34;34;16.7;26.903;28.435943;144.737;-30;-23.4664;5178.267;9.14;2355.147;959;304.125
Vietnam;Asia-Pacific;84;18;60.6;49.6;33.8;33.5598863867964;80.9;85.5;78.8;73.6;53.9012566936835;68.8;78.8;40;50;5.6;35;20;16.9;21.99;97.338583;1058.693;2.906;6.1258;10868.858;2.27;3.222;15800;46.615
Yemen;Middle East and North Africa;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;15;20;N/A;N/A;29.825968;62.583;-5;-3.319;1927.331;13.42;26.183;-370.9827777;83.156
Zambia;Sub-Saharan Africa;154;36;48.7;38.3;45.2;30.7985909378835;70.9;73.3;0;44.2;41.9397604807007;66.4;68.2;55;50;8.4;37.5;35;16.7;29.8173333333333;18.383956;63.103;-3.497;1.852;3341.987;12.17;16.35;234;117.761
Zimbabwe;Sub-Saharan Africa;173;46;33.1;20.8;16.3;20.6400503391541;66.1;87.2;79.8;36.9;34.924651824926;0;0;25;10;67.7;51.5;24;12.6;20.684;14.862927;39.824;-8.002;-1.293;2621.82;5.7;557.21;194;88.873
